"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Floor.area.Ratio...","quarter.1","Year","Age","IsNew","Stationgroup","Areagroup"
"95","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Danshicho","Enza",28,"No_information",107407.407407407,"Semi-rectangular Shaped",14,105,2017,"W","House","House","South","City Road",5,"Non-divided City Planning Area",100,"2nd",2018,1,0,"3","1"
"96","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Ichinomiya",26,"No_information",24666.6666666667,"Semi-rectangular Shaped",21,60,1975,"W","House","No_information","West","City Road",5.1,"Category II Exclusively Medium-high Residential Zone",200,"4th",2012,37,0,"2","1"
"97","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Dokichohigashi","Marugame",60,"No_information",1e+05,"Semi-rectangular Shaped",11,120,2012,"LS","House","House","Northeast","City Road",6,"Category I Exclusively Low-story Residential Zone",80,"2nd",2018,6,0,"2","1"
"98","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachoohama","Takuma",120,"No_information",8695.65217391304,"Semi-shaped",12.5,110,1935,"W","House","House","North","Road",1.2,"Outside City Planning Area",0,"3rd",2016,81,0,"1","1"
"99","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Kamosho","Shido",60,"No_information",78571.4285714286,"Semi-shaped",11,95,1994,"W","House","House","North","Private Road",4,"Non-divided City Planning Area",200,"2nd",2017,23,0,"2","1"
"100","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Yamanokitacho","Marugame",60,"No_information",11304.347826087,"Semi-rectangular Shaped",10.8,70,1935,"W","House","House","Northwest","City Road",4.8,"Non-divided City Planning Area",200,"1st",2020,85,0,"2","2"
"101","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Gobushocho","Marugame",16,"No_information",45833.3333333333,"Semi-rectangular Shaped",6.5,80,1979,"W","House","No_information","Northwest","City Road",6,"Category I Residential Zone",200,"3rd",2008,29,0,"2","1"
"102","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Kamosho","Shido",90,"No_information",22702.7027027027,"Semi-square Shaped",14,105,1983,"W","House","No_information","Northwest","Private Road",5,"Outside City Planning Area",0,"4th",2013,30,0,"2","1"
"103","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Showa","Nagao (Takamatsu)",4,"No_information",96153.8461538462,"Semi-rectangular Shaped",12,105,2019,"W","House","House","South","Private Road",4.7,"Non-divided City Planning Area",200,"3rd",2019,0,1,"3","1"
"104","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",9,"No_information",26086.9565217391,"Rectangular Shaped",8,85,1969,"W","House","No_information","North","Private Road",4,"Category I Exclusively Medium-high Residential Zone",200,"3rd",2009,40,0,"3","2"
"105","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takumachotakuma","Takuma",60,"No_information",7619.04761904762,"Semi-rectangular Shaped",17,280,1935,"W","House","No_information","Southwest","City Road",5.5,"Non-divided City Planning Area",200,"2nd",2012,77,0,"1","1"
"106","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Murechoomachi","Shioya (Takamatsu)",2,"4LDK",77333.3333333333,"No_information",0,0,1993,"RC","House","No_information","No_information","No_information",0,"Category I Residential Zone",200,"2nd",2011,18,0,"3","1"
"107","Residential Land(Land and Building)","Residential Area","37406","Kagawa Prefecture","Manno Town,Nakatado County","Soda","Kotohira",150,"No_information",1282.05128205128,"Semi-shaped",24,180,1965,"W","House","No_information","Northeast","Town Road",4.5,"Outside City Planning Area",0,"1st",2014,49,0,"1","1"
"108","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Matsunawacho","Sanjo (Takamatsu)",16,"No_information",274285.714285714,"Semi-rectangular Shaped",15,135,2017,"LS","House","House","East","City Road",6,"Category I Exclusively Medium-high Residential Zone",200,"2nd",2016,-1,0,"4","3"
"109","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","(No Address)","No_station",999,"No_information",48275.8620689655,"Semi-rectangular Shaped",9,100,1980,"W","House","House","West","Town Road",2.5,"Outside City Planning Area",0,"1st",2016,36,0,"1","1"
"110","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Ota (Takamatsu)",60,"No_information",145454.545454545,"Semi-shaped",11.3,135,2008,"W","House","No_information","South","Private Road",5,"Non-divided City Planning Area",200,"1st",2008,0,1,"4","2"
"111","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Sanjocho","Konzoji",60,"No_information",66666.6666666667,"Semi-rectangular Shaped",12.5,100,1983,"W","House","House","Northeast","City Road",4.3,"Non-divided City Planning Area",200,"2nd",2015,32,0,"2","1"
"112","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Murojimmachi","Sanjo (Takamatsu)",13,"3LDK",328571.428571429,"No_information",0,0,2010,"RC","House","House","No_information","No_information",0,"Category II Residential Zone",200,"3rd",2018,8,0,"4","3"
"113","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Nishikimachi","Takamatsu (Kagawa)",8,"2LDK",157500,"No_information",0,0,1985,"RC","House","House","No_information","No_information",0,"Commercial Zone",400,"4th",2015,30,0,"4","3"
"114","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamifukuokacho","Hanazono (Takamatsu)",11,"No_information",43076.9230769231,"Semi-rectangular Shaped",4.2,80,1963,"W","House","No_information","South","Private Road",3.7,"Category I Residential Zone",200,"3rd",2009,46,0,"3","1"
"115","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichokashihara","Kokubu (Kagawa)",60,"No_information",13181.8181818182,"Semi-square Shaped",15,65,1975,"W","House","House","Northwest","City Road",4,"Non-divided City Planning Area",100,"2nd",2018,43,0,"2","1"
"116","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Tsukijicho","Imabashi",5,"1DK",153333.333333333,"No_information",0,0,1991,"SRC","House","No_information","No_information","No_information",0,"Commercial Zone",400,"3rd",2010,19,0,"4","2"
"117","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",10,"3LDK",91666.6666666667,"No_information",0,0,1975,"SRC","House","No_information","No_information","No_information",0,"Category II Residential Zone",200,"1st",2008,33,0,"4","1"
"118","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Sakuramachi","Ritsurin",2,"4LDK",88888.8888888889,"No_information",0,0,1978,"SRC","House","No_information","No_information","No_information",0,"Neighborhood Commercial Zone",300,"1st",2012,34,0,"4","2"
"119","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Busshozan",60,"No_information",102564.102564103,"Rectangular Shaped",12,115,2009,"W","House","House","South","City Road",7,"Non-divided City Planning Area",100,"3rd",2015,6,0,"3","2"
"120","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Ritsurinkoen",11,"No_information",91111.1111111111,"Semi-rectangular Shaped",18,200,1992,"W","House","No_information","North","City Road",16,"Category I Residential Zone",200,"4th",2012,20,0,"4","2"
"121","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",26,"No_information",26956.5217391304,"Semi-square Shaped",15,120,1989,"W","House","No_information","West","City Road",6,"Category I Exclusively Low-story Residential Zone",100,"1st",2008,19,0,"2","1"
"122","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Fukuecho","Sakaide",24,"No_information",56000,"Irregular Shaped",9.5,95,2002,"W","House","No_information","South","Private Road",5,"Category I Exclusively Low-story Residential Zone",100,"4th",2011,9,0,"2","1"
"123","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Tanimachi","Yasoba",6,"No_information",47826.0869565217,"Irregular Shaped",15.5,190,1976,"W","House","No_information","Northwest","Private Road",3.8,"Category II Exclusively Medium-high Residential Zone",200,"1st",2014,38,0,"2","1"
"124","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Tsudamachitsuruwa","Tsuruwa",6,"No_information",5454.54545454545,"Semi-shaped",15,60,1935,"W","House","No_information","South","City Road",5.5,"Non-divided City Planning Area",200,"1st",2010,75,0,"1","1"
"125","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",60,"3LDK",121428.571428571,"No_information",0,0,2000,"RC","House","House","No_information","No_information",0,"Category I Residential Zone",200,"4th",2015,15,0,"3","2"
"126","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kawashimahigashimachi","Takata (Takamatsu)",60,"No_information",60000,"Rectangular Shaped",6.5,70,1974,"W","House","No_information","North","Private Road",4,"Category II Exclusively Medium-high Residential Zone",200,"2nd",2008,34,0,"2","1"
"127","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tahikamimachi","Busshozan",14,"No_information",183333.333333333,"Semi-square Shaped",13,110,2020,"W","House","House","Southeast","Private Road",5.6,"Category I Exclusively Low-story Residential Zone",100,"2nd",2020,0,1,"3","2"
"128","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Sogawahigashimachi","Ikenobe",60,"No_information",91666.6666666667,"Semi-rectangular Shaped",9,90,1991,"W","House","House","South","Private Road",4,"Non-divided City Planning Area",100,"3rd",2018,27,0,"2","1"
"129","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",60,"4LDK",90909.0909090909,"No_information",0,0,1994,"RC","House","No_information","No_information","No_information",0,"Category I Residential Zone",200,"1st",2010,16,0,"3","2"
"130","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Hyogomachi","Takamatsu (Kagawa)",6,"No_information",62500,"Rectangular Shaped",8,170,1957,"B","House, Shop","No_information","South","City Road",11,"Commercial Zone",400,"2nd",2013,56,0,"4","3"
"131","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Motoyamacho","Motoyama (Takamatsu)",13,"No_information",111764.705882353,"Semi-square Shaped",11.5,110,2010,"W","House","No_information","South","Private Road",6,"Non-divided City Planning Area",200,"4th",2009,-1,0,"3","1"
"132","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Shindencho","Katamoto",18,"No_information",117647.058823529,"Semi-rectangular Shaped",5,105,2015,"W","House","House","Southwest","Private Road",6,"Non-divided City Planning Area",100,"2nd",2015,0,1,"3","2"
"133","Residential Land(Land and Building)","Residential Area","37204","Kagawa Prefecture","Zentsuji City","Kushinashicho","Zentsuji",60,"No_information",36666.6666666667,"Rectangular Shaped",15,160,1987,"W","House","House","West","Private Road",6.5,"Non-divided City Planning Area",200,"4th",2020,33,0,"2","1"
"134","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Motoyamacho","Mizuta",15,"No_information",187878.787878788,"Semi-rectangular Shaped",14,155,2015,"W","House","Other","Northwest","Private Road",5,"Non-divided City Planning Area",100,"3rd",2014,-1,0,"3","1"
"135","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Kukodori",60,"No_information",37857.1428571429,"Semi-square Shaped",14.8,130,1975,"W","House","No_information","West","Hokkaido Prefectural Road",4.6,"Category II Exclusively Medium-high Residential Zone",200,"3rd",2020,45,0,"2","1"
"136","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Hiketa","Hiketa",25,"No_information",795.454545454545,"Irregular Shaped",19,210,1989,"W","House","House","Northeast","Prefectural Road",5,"Outside City Planning Area",0,"1st",2021,32,0,"1","1"
"137","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Danshicho","Enza",60,"No_information",16129.0322580645,"Rectangular Shaped",27.5,170,1957,"W","House","No_information","East","Road",4,"Non-divided City Planning Area",200,"1st",2010,53,0,"3","1"
"138","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hananomiyacho","Sanjo (Takamatsu)",4,"3LDK",120000,"No_information",0,0,1992,"RC","House","No_information","No_information","No_information",0,"Category I Residential Zone",200,"1st",2014,22,0,"4","2"
"139","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Sakuramachi","Ritsurinkoen",1,"3LDK",355555.555555556,"No_information",0,0,2003,"RC","House","House","No_information","No_information",0,"Neighborhood Commercial Zone",300,"1st",2019,16,0,"4","2"
"140","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Kunitacho","Kan-onji (Kagawa)",15,"No_information",12820.5128205128,"Irregular Shaped",41,210,1935,"W","House","House","Northeast","Prefectural Road",5,"Category I Residential Zone",200,"1st",2020,85,0,"2","1"
"141","Residential Land(Land and Building)","Industrial Area","37207","Kagawa Prefecture","Higashikagawa City","Hiketa","Hiketa",11,"No_information",4333.33333333333,"Rectangular Shaped",14,160,1986,"W","House","No_information","North","Prefectural Road",10,"Non-divided City Planning Area",200,"1st",2010,24,0,"1","1"
"142","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",20,"No_information",133333.333333333,"Semi-rectangular Shaped",18,115,2011,"W","House","No_information","South","City Road",9,"Category I Residential Zone",200,"1st",2012,1,0,"3","2"
