"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"3136","Residential Land(Land and Building)","Residential Area","37386","Kagawa Prefecture","Utazu Town,Ayauta County","(No Address)","Utazu",60,NA,210,142857.142857143,"Rectangular Shaped",11.2,NA,1935,"W","House","House","East","Town Road",5,"Category I Residential Zone",60,200,"2nd",2017
"384","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamifukuokacho","Hanazono (Takamatsu)",8,NA,165,193939.393939394,"Semi-rectangular Shaped",14,125,1935,"W","House","House","West","Road",5,"Category I Residential Zone",60,200,"3rd",2020
"4287","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otashimomachi","Ota (Takamatsu)",16,NA,230,178260.869565217,"Rectangular Shaped",12.5,130,1935,"W","House",NA,"North","Private Road",6,"Category I Residential Zone",60,200,"2nd",2011
"6873","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",60,NA,115,130434.782608696,"Trapezoidal Shaped",10,95,1935,"W","House",NA,"West","City Road",5.4,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2013
"7060","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Sambommatsu","Sanbonmatsu (Kagawa)",11,NA,195,24615.3846153846,"Semi-rectangular Shaped",11.5,115,1935,"W","House",NA,"North","Prefectural Road",7,"Quasi-industrial Zone",60,200,"3rd",2013
"1053","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Takamatsucho","Yashima",6,NA,150,49333.3333333333,"Semi-shaped",7,240,1935,"W","House","House","South","Prefectural Road",13,"Neighborhood Commercial Zone",80,200,"1st",2018
"1976","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Ayautachotomikuma","Kurikuma",60,NA,200,10000,"Trapezoidal Shaped",19.9,85,1935,"W","House","House","Northeast","City Road",5,"Non-divided City Planning Area",70,200,"2nd",2019
"4658","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Toyohamachowadahama","Toyohama",21,NA,220,72727.2727272727,"Rectangular Shaped",12.5,100,1935,"W","House",NA,"South","Private Road",5,"Outside City Planning Area",NA,NA,"3rd",2010
"2852","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Minato","Sanukishirotori",8,NA,230,1e+05,"Semi-trapezoidal Shaped",19,130,1935,"W","House","House","East","Private Road",4,"Non-divided City Planning Area",70,200,"4th",2019
"4897","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Ayautachookadahigashi","Okada (Takamatsu)",21,NA,150,86666.6666666667,"Semi-trapezoidal Shaped",5,95,1935,"W","House",NA,"South","City Road",4,"Non-divided City Planning Area",70,200,"3rd",2011
"225","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Okamotocho","Okamoto (Takamatsu)",8,"2LDK",80,85000,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Non-divided City Planning Area",60,200,"4th",2016
"758","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichoshimmyo","Hashioka",60,NA,115,60869.5652173913,"Semi-shaped",14,100,1935,"W","House","Shop","West","Private Road",4,"Category I Exclusively Low-story Residential Zone",60,100,"4th",2020
"2418","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Fukuecho","Sakaide",20,NA,170,16470.5882352941,"Semi-trapezoidal Shaped",15.3,115,1935,"W","House","House","East","Road",4,"Category I Residential Zone",60,200,"4th",2020
"3628","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Kasugagawa",60,"3LDK",75,102666.666666667,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"4th",2014
"4745","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Ota (Takamatsu)",28,NA,160,193750,"Rectangular Shaped",14,120,1935,"S","House",NA,"Northeast","Private Road",5,"Category I Residential Zone",60,200,"1st",2011
"4935","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ajicho","Shioya (Takamatsu)",120,NA,610,13114.7540983607,"Semi-rectangular Shaped",20,115,1935,"RC","House",NA,"Northwest","City Road",3.2,"Outside City Planning Area",NA,NA,"3rd",2015
"1652","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Marunouchi","Kataharamachi (Takamatsu)",4,"1LDK",40,125000,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Commercial Zone",80,400,"4th",2020
"719","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Konanchoyokoi","Okamoto (Takamatsu)",60,NA,200,120000,"Semi-rectangular Shaped",15,95,1935,"W","House","House","North","Private Road",5,"Non-divided City Planning Area",70,200,"1st",2017
"5170","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",12,NA,770,58441.5584415584,"Semi-rectangular Shaped",NA,125,1935,"LS","House","House","South","City Road",5,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2015
"883","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Sanjocho","Sanjo (Takamatsu)",12,"4LDK",85,176470.588235294,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"2nd",2019
"411","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamedaminamimachi","Ikenobe",7,NA,200,90000,"Semi-rectangular Shaped",10,105,1935,"W","House","House","South","City Road",4,"Non-divided City Planning Area",60,100,"1st",2020
"3077","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Hikami","Hiragi",9,NA,130,5384.61538461538,"Semi-rectangular Shaped",8.5,75,1935,"W","House","House","South","Private Road",4,"Non-divided City Planning Area",70,200,"1st",2020
"6040","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Niochonio","Takuma",90,NA,550,14181.8181818182,"Semi-rectangular Shaped",20,250,1935,"W","House","House","West","City Road",4.5,"Non-divided City Planning Area",70,200,"2nd",2015
"7263","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitacho",10,NA,230,73913.0434782609,"Semi-rectangular Shaped",11,195,1935,"RC","House",NA,"West","City Road",6.9,"Quasi-industrial Zone",60,200,"1st",2009
"6189","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Miyawakicho","Ritsurinkoenkitaguchi",11,NA,95,28421.0526315789,"Semi-rectangular Shaped",8,60,1935,"W","House",NA,"Southeast","Private Road",4,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2012
"6274","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Ayautachookadahigashi","Okada (Takamatsu)",11,NA,490,20408.1632653061,"Semi-trapezoidal Shaped",12,180,1935,"W","House",NA,"Southeast","City Road",4.3,"Non-divided City Planning Area",70,200,"4th",2012
"5055","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Kukodori",60,NA,175,142857.142857143,"Semi-rectangular Shaped",12,110,1935,"W","House","House","Southeast","Private Road",5.5,"Non-divided City Planning Area",70,200,"3rd",2015
"523","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kitahigashiguchi",9,NA,480,43750,"Rectangular Shaped",NA,110,1935,"W","House","House","West","Private Road",6,"Category I Residential Zone",60,200,"4th",2018
"8283","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",8,NA,105,133333.333333333,"Semi-rectangular Shaped",NA,100,1935,"W","House",NA,"West","Private Road",4.2,"Category II Residential Zone",60,200,"2nd",2008
"5745","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Kukodori",29,NA,180,27777.7777777778,"Semi-rectangular Shaped",12,70,1935,"W","House",NA,"East","City Road",4,"Quasi-residential Zone",60,200,"4th",2012
"8188","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Furujimmachi","Takamatsu (Kagawa)",8,"1K",20,85000,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Commercial Zone",80,400,"1st",2008
"2336","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Kazashicho","Sakaide",7,NA,200,21000,"Semi-rectangular Shaped",20,80,1935,"W","House","House","North","Private Road",1.2,"Category I Residential Zone",60,200,"1st",2020
"3067","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Hikami","Gakuendori",28,NA,240,91666.6666666667,"Trapezoidal Shaped",15,110,1935,"W","House","House","South","Private Road",5,"Non-divided City Planning Area",50,200,"4th",2016
"7597","Residential Land(Land and Building)","Residential Area","37204","Kagawa Prefecture","Zentsuji City","Haradacho","Konzoji",28,NA,600,41666.6666666667,"Rectangular Shaped",NA,115,1935,"W","House",NA,"North","Private Road",5,"Non-divided City Planning Area",70,200,"3rd",2009
"1357","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",13,"2LDK",60,116666.666666667,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Category II Residential Zone",60,200,"4th",2020
"4967","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Kukodori",8,NA,135,35555.5555555556,"Semi-trapezoidal Shaped",15.5,110,1935,"W","House","House","South","Private Road",4.2,"Non-divided City Planning Area",60,100,"1st",2015
"44","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",9,NA,195,38461.5384615385,"Irregular Shaped",4,155,1935,"LS","House","House","South","City Road",3,"Non-divided City Planning Area",60,100,"4th",2020
"4252","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Imazatocho","Hanazono (Takamatsu)",12,"2LDK",70,214285.714285714,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category II Exclusively Medium-high Residential Zone",60,200,"1st",2011
"6406","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Sangawamachiishidahigashi","Kanzaki (Kagawa)",60,NA,730,24657.5342465753,"Irregular Shaped",30,290,1935,"W","House",NA,"East","Road",2.5,"Non-divided City Planning Area",70,200,"3rd",2012
"6847","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Murechomure","Yakuriguchi",6,NA,310,35483.8709677419,"Semi-trapezoidal Shaped",18,145,1935,"LS","House",NA,"Southeast","City Road",6,"Category I Exclusively Medium-high Residential Zone",60,200,"4th",2013
"2200","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Dokichohigashi","Marugame",60,NA,210,27619.0476190476,"Semi-rectangular Shaped",14,115,1935,"W","House","House","Southwest","City Road",5,"Category I Exclusively Low-story Residential Zone",50,80,"3rd",2019
"6371","Residential Land(Land and Building)","Residential Area","37204","Kagawa Prefecture","Zentsuji City","Konzojicho","Konzoji",8,NA,400,55000,"Semi-square Shaped",20,140,1935,"W","House",NA,"East","City Road",0,"Non-divided City Planning Area",70,200,"4th",2012
"4953","Residential Land(Land and Building)","Residential Area","37387","Kagawa Prefecture","Ayagawa Town,Ayauta County","Kayahara","Takinomiya",60,NA,250,39600,"Semi-shaped",12.5,210,1935,"S","House",NA,"Northwest","Town Road",6,"Non-divided City Planning Area",70,200,"2nd",2010
"1475","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Bancho","Ritsurinkoenkitaguchi",11,"4LDK",85,294117.647058824,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category II Exclusively Medium-high Residential Zone",60,200,"1st",2017
"993","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Setouchicho","Showacho (Kagawa)",8,NA,115,9565.21739130435,"Semi-rectangular Shaped",6.5,135,1935,"W","House","Other","East","City Road",6,"Quasi-industrial Zone",60,200,"1st",2017
"143","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Otakamimachi","Ota (Takamatsu)",7,"3LDK",70,271428.571428571,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"1st",2021
"1932","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Ritsurincho","Ritsurinkoen",5,"3LDK",65,353846.153846154,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Neighborhood Commercial Zone",80,300,"4th",2016
"2202","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Dokichohigashi","Marugame",60,NA,690,49275.3623188406,"&quot;Flag-shaped&quot; etc.",19.5,210,1935,"W","House","House","Southeast","City Road",5,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2019
"2596","Residential Land(Land and Building)","Commercial Area","37205","Kagawa Prefecture","Kan-onji City","Toyohamachohimehama","Toyohama",9,NA,390,33333.3333333333,"Irregular Shaped",40,200,1935,"W","House","Other","South","National Highway",14.5,"Non-divided City Planning Area",70,200,"1st",2020
"3573","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Matsushimacho","Matsushima 2-chome",10,NA,65,53846.1538461538,"Rectangular Shaped",7,50,1935,"W","House",NA,"North","City Road",4.1,"Category I Residential Zone",60,200,"1st",2014
"5244","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Sakuramachi","Ritsurinkoen",6,"3LDK",80,2e+05,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd",2015
"5113","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kawashimahigashimachi","Takata (Takamatsu)",25,NA,110,42727.2727272727,"Semi-shaped",5,90,1935,"W","House","House","North","Private Road",4,"Non-divided City Planning Area",60,100,"3rd",2015
"8490","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Kunitacho","Kan-onji (Kagawa)",28,NA,460,9130.4347826087,"Semi-trapezoidal Shaped",19,155,1935,"W","House",NA,"North","Agricultural Road",2,"Non-divided City Planning Area",70,200,"4th",2007
"5312","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",18,NA,320,75000,"Semi-rectangular Shaped",21,150,1935,"LS","House",NA,"North","City Road",6,"Category I Exclusively Low-story Residential Zone",60,100,"1st",2011
"2116","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Jotocho","Marugame",24,NA,400,27500,"Semi-shaped",10,NA,1935,"W","House","House","West","Private Road",4,"Category I Residential Zone",60,200,"2nd",2016
"2538","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Onoharachotanono","Toyohama",150,NA,330,21212.1212121212,"Semi-trapezoidal Shaped",18,75,1935,"W","House","House","North","Prefectural Road",10,"Outside City Planning Area",NA,NA,"2nd",2017
"2476","Residential Land(Land and Building)","Residential Area","37204","Kagawa Prefecture","Zentsuji City","Zentsuujicho","Zentsuji",60,NA,210,52380.9523809524,"Semi-rectangular Shaped",12,110,1935,"W","House","House","Southwest","City Road",5.5,"Non-divided City Planning Area",70,200,"2nd",2019
"2628","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Minatomachi","Kan-onji (Kagawa)",16,NA,170,2941.17647058824,"Rectangular Shaped",14.5,75,1935,"W","House","Other","East","City Road",4,"Quasi-industrial Zone",60,200,"1st",2019
"4368","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tsunomoricho","Marugame",19,NA,260,126923.076923077,"Irregular Shaped",NA,120,1935,"W","House",NA,"South","Private Road",5,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2010
